,,,,,,,,,,,,,
,,,,,,,,,Stop 1,,,,
Today,14/03/2024,,,,,, ,,24.27%,"51,500,000","50,000","12,500,000",
Season,Truck owner, , ,Week,Pick up date,District,Status, ,Arrival time at Stop 1,# of farmers,Sector,Site,Volume 1 in kgs
2023A,Internal,,,20-Feb,2/21/2023,Ngoma,#REF!,,7:50 AM,7,Gashanda,Cyerwa,"7,747"
2023A,IZ Service,,,20-Feb,2/21/2023,Nyagatare,#REF!,,12:35,1,Tabagwe,Tabagwe,"10,041"
2023A,Internal,,,20-Feb,2/21/2023,Nyagatare,#REF!,,08:22,4,Matimba,Rwentanga,"9,735"
2023A,IZ Service,,,20-Feb,2/21/2023,Gatsibo,#REF!,,15:02,11,Rwimbogo,Rwimbogo,"11,080"
2023A,IZ Service,,,20-Feb,2/21/2023,Rwamagana,#REF!,,12:05,1,Kigabiro,Sovu,"10,281"
2023A,IZ Service,,,20-Feb,2/21/2023,Rwamagana,#REF!,,12:00 PM,7,Mwulire,Gisanze,"9,071"
2023A,IZ Service,,,20-Feb,2/22/2023,Ngoma,#REF!,,11:20,12,Gashanda,Nyamugari,"10,755"
2023A,IZ Service,,,20-Feb,2/22/2023,Kayonza,#REF!,,04:55,11,Rwinkwavu,Gihinga,"10,857"
2023A,Internal,,,20-Feb,2/22/2023,Kayonza,#REF!,,03:00,6,Mukarange,Rugendabari,"5,495"
2023A,IZ Service,,,20-Feb,2/22/2023,Rwamagana,#REF!,,13:04,1,Kigabiro,Sovu,"8,006"
2023A,Internal,,,20-Feb,2/22/2023,Nyagatare,#REF!,,08:50,6,Matimba,Rwentanga,"9,827"
2023A,IZ Service,,,20-Feb,2/22/2023,Nyagatare,#REF!,,03:25,2,Katabagemu,Rubira,"10,260"
2023A,IZ Service,,,20-Feb,2/22/2023,Nyagatare,#REF!,,06:05,2,Katabagemu,Rubira,"10,260"
2023A,IZ Service,,,20-Feb,2/23/2023,Nyagatare,#REF!,,14:00,3,Katabagemu,Rubira,"10,324"
2023A,IZ Service,,,20-Feb,2/23/2023,Nyagatare,#REF!,,11:00,3,Katabagemu,Rubira,"10,268"
2023A,IZ Service,,,20-Feb,2/23/2023,Nyagatare,#REF!,,13:10,4,Matimba,Kanyonza,"8,188"
2023A,IZ Service,,,20-Feb,2/23/2023,Kayonza,#REF!,,07:30,5,Gahini,Urugarama,"9,314"
2023A,IZ Service,,,20-Feb,2/23/2023,Kayonza,#REF!,,08:40,14,Murundi,Murundi,"7,467"
